	S4	S5	S10	S55	S60	S119	S120
ENSMUSG00000000001	148.00	93.00	101.00	66.00	96.00	67.00	91.00
ENSMUSG00000000003	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000028	7.00	4.00	11.00	2.00	2.00	5.00	7.00
ENSMUSG00000000031	255.00	285.00	397.00	328.02	315.00	429.00	346.00
ENSMUSG00000000037	3.00	2.00	1.00	3.00	2.00	3.00	1.00
ENSMUSG00000000049	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000056	21.00	33.00	31.00	45.00	52.00	37.00	47.00
ENSMUSG00000000058	61.00	36.00	40.00	29.00	39.00	26.00	37.00
ENSMUSG00000000078	59.00	152.00	86.00	60.00	55.00	56.00	79.00
ENSMUSG00000000085	11.00	23.00	21.00	23.00	25.00	35.00	24.00
ENSMUSG00000000088	83.90	70.00	93.86	81.88	65.90	90.90	62.77
ENSMUSG00000000093	0.00	1.00	1.00	0.00	3.00	5.00	2.00
ENSMUSG00000000094	1.00	0.00	0.00	3.00	0.00	0.00	0.00
ENSMUSG00000000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000120	2.00	3.00	3.00	8.00	5.00	11.00	8.00
ENSMUSG00000000125	5.00	9.00	5.00	9.00	9.00	8.00	21.00
ENSMUSG00000000126	3.00	3.00	1.00	2.00	2.00	2.00	8.00
ENSMUSG00000000127	21.00	11.00	18.00	13.00	19.00	17.00	11.00
ENSMUSG00000000131	25.00	35.00	33.00	42.00	49.00	56.00	48.00
ENSMUSG00000000134	12.00	33.00	33.00	40.00	27.00	27.00	33.00
ENSMUSG00000000142	7.00	4.00	5.49	37.00	14.00	25.00	32.00
ENSMUSG00000000148	3.00	6.00	1.00	6.00	4.00	8.00	5.00
ENSMUSG00000000149	13.00	19.00	18.92	25.94	32.86	34.35	30.00
ENSMUSG00000000154	0.00	0.00	0.00	1.00	1.00	3.00	3.00
ENSMUSG00000000157	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000159	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000167	0.00	1.00	2.00	0.00	2.00	0.00	1.00
ENSMUSG00000000168	46.00	50.00	61.00	38.00	49.00	53.00	48.00
ENSMUSG00000000171	59.00	54.00	87.00	55.00	48.00	73.00	70.00
ENSMUSG00000000182	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000183	1.00	2.00	0.00	1.00	2.00	0.00	0.00
ENSMUSG00000000184	102.82	93.00	62.48	112.36	134.56	135.62	189.00
ENSMUSG00000000194	22.00	35.00	30.00	48.00	53.00	42.00	55.00
ENSMUSG00000000197	1.00	2.00	2.00	2.00	4.00	0.00	1.00
ENSMUSG00000000202	0.00	2.00	1.00	0.00	0.00	0.00	0.00
ENSMUSG00000000204	7.12	5.00	2.00	0.00	7.00	4.00	5.00
ENSMUSG00000000214	0.00	1.00	5.00	2.00	1.00	1.00	4.00
ENSMUSG00000000215	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000216	2.00	2.00	3.00	6.00	0.00	2.00	1.00
ENSMUSG00000000223	11.00	20.00	31.00	39.00	20.00	15.00	25.00
ENSMUSG00000000244	2.00	2.00	3.00	3.00	2.00	2.00	1.00
ENSMUSG00000000247	17.00	3.00	7.00	12.00	5.00	15.00	21.00
ENSMUSG00000000248	2.00	4.00	3.00	1.00	2.00	0.00	3.00
ENSMUSG00000000253	4.00	10.97	11.00	21.00	20.00	25.00	18.39
ENSMUSG00000000263	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000266	24.00	26.00	18.00	16.00	22.00	12.00	19.00
ENSMUSG00000000275	27.00	38.00	25.00	32.00	37.00	29.00	29.00
ENSMUSG00000000276	7.00	10.00	10.00	9.00	2.00	8.00	16.00
ENSMUSG00000000278	73.00	98.00	62.00	81.00	58.00	64.00	75.00
ENSMUSG00000000282	6.00	9.00	8.00	15.00	12.00	13.00	20.00
ENSMUSG00000000290	13.00	13.00	5.00	28.00	27.00	12.00	29.00
ENSMUSG00000000295	10.00	6.00	11.00	5.00	2.00	8.00	4.00
ENSMUSG00000000296	1.00	5.00	7.00	5.00	3.00	4.00	2.00
ENSMUSG00000000301	0.00	2.00	2.00	0.00	1.00	1.00	1.00
